"results_id";"start";"duration";"class";"steps";"mi";"aee";"tee";"met";"vmu"
529;"2015-06-27 01:38:00.00";60;"lying";0;0.00943;15.546;107.971;1.14;0
529;"2015-06-27 01:39:00.00";60;"lying";0;0.00893;14.696;107.026;1.14;5.992
529;"2015-06-27 01:40:00.00";60;"lying";0;0.02657;44.69;140.354;1.45;205.528
529;"2015-06-27 01:41:00.00";60;"lying";0;0.01334;22.194;115.358;1.22;0
529;"2015-06-27 01:42:00.00";60;"lying";0;0.0116;19.236;112.071;1.18;0
529;"2015-06-27 01:43:00.00";60;"lying";0;0.00994;16.413;108.935;1.15;0
529;"2015-06-27 01:44:00.00";60;"lying";0;0.01213;20.137;113.072;1.19;4.38
529;"2015-06-27 01:45:00.00";60;"lying";0;0.00961;15.852;108.311;1.15;0
529;"2015-06-27 01:46:00.00";60;"lying";0;0.00971;16.022;108.5;1.15;0
529;"2015-06-27 01:47:00.00";60;"lying";0;0.00961;15.852;108.311;1.15;0
529;"2015-06-27 01:48:00.00";60;"lying";0;0.01177;19.525;112.392;1.19;0
529;"2015-06-27 01:49:00.00";60;"lying";0;0.01079;17.858;110.54;1.17;0
529;"2015-06-27 01:50:00.00";60;"lying";0;0.01076;17.807;110.484;1.17;0
529;"2015-06-27 01:51:00.00";60;"lying";0;0.00995;16.43;108.953;1.15;0
529;"2015-06-27 01:52:00.00";60;"lying";0;0.00963;15.886;108.349;1.15;0
529;"2015-06-27 01:53:00.00";60;"lying";0;0.01059;17.518;110.163;1.17;0
529;"2015-06-27 01:54:00.00";60;"lying";0;0.00911;15.002;107.366;1.14;0
529;"2015-06-27 01:55:00.00";60;"lying";0;0.01161;19.253;112.09;1.18;0
529;"2015-06-27 01:56:00.00";60;"lying";0;0.01121;18.573;111.334;1.18;10.493
529;"2015-06-27 01:57:00.00";60;"lying";0;0.01302;21.65;114.754;1.21;0
529;"2015-06-27 01:58:00.00";60;"lying";0;0.00882;14.509;106.819;1.13;0
529;"2015-06-27 01:59:00.00";60;"lying";0;0.01144;18.964;111.769;1.18;0
529;"2015-06-27 02:00:00.00";60;"lying";0;0.01022;16.889;109.464;1.16;0
529;"2015-06-27 02:01:00.00";60;"lying";0;0.01098;18.181;110.899;1.17;0
529;"2015-06-27 02:02:00.00";60;"lying";0;0.00761;12.451;104.532;1.11;0
529;"2015-06-27 02:03:00.00";60;"lying";0;0.01192;19.78;112.675;1.19;0
529;"2015-06-27 02:04:00.00";60;"lying";0;0.00894;14.713;107.045;1.14;0
529;"2015-06-27 02:05:00.00";60;"lying";0;0.0082;13.454;105.647;1.12;0
529;"2015-06-27 02:06:00.00";60;"lying";0;0.01146;18.998;111.806;1.18;0
529;"2015-06-27 02:07:00.00";60;"lying";0;0.00891;14.662;106.989;1.14;0
529;"2015-06-27 02:08:00.00";60;"lying";0;0.00991;16.362;108.878;1.15;0
529;"2015-06-27 02:09:00.00";60;"lying";0;0.0093;15.325;107.725;1.14;0
529;"2015-06-27 02:10:00.00";60;"lying";0;0.01124;18.624;111.391;1.18;0
529;"2015-06-27 02:11:00.00";60;"lying";0;0.0097;16.005;108.481;1.15;0
529;"2015-06-27 02:12:00.00";60;"lying";0;0.01197;19.865;112.77;1.19;0
529;"2015-06-27 02:13:00.00";60;"lying";0;0.00941;15.512;107.933;1.14;0
529;"2015-06-27 02:14:00.00";60;"lying";0;0.01181;19.593;112.468;1.19;0
529;"2015-06-27 02:15:00.00";60;"lying";0;0.00857;14.083;106.346;1.13;0
529;"2015-06-27 02:16:00.00";60;"lying";0;0.01349;22.449;115.642;1.22;0
529;"2015-06-27 02:17:00.00";60;"lying";0;0.0087;14.305;106.592;1.13;0
529;"2015-06-27 02:18:00.00";60;"lying";0;0.01276;21.208;114.262;1.2;0
529;"2015-06-27 02:19:00.00";60;"lying";0;0.009;14.815;107.159;1.14;0
529;"2015-06-27 02:20:00.00";60;"lying";0;0.01224;20.324;113.28;1.2;0
529;"2015-06-27 02:21:00.00";60;"lying";0;0.00825;13.539;105.742;1.12;0
529;"2015-06-27 02:22:00.00";60;"lying";0;0.01251;20.783;113.79;1.2;0
529;"2015-06-27 02:23:00.00";60;"lying";0;0.00855;14.049;106.308;1.13;0
529;"2015-06-27 02:24:00.00";60;"lying";0;0.01103;18.266;110.994;1.17;0
529;"2015-06-27 02:25:00.00";60;"lying";0;0.03346;56.406;153.371;1.58;238.632
529;"2015-06-27 02:26:00.00";60;"lying";0;0.01938;32.465;126.77;1.32;32.607
529;"2015-06-27 02:27:00.00";60;"lying";0;0.01322;21.99;115.131;1.21;13.008
529;"2015-06-27 02:28:00.00";60;"lying";0;0.00476;7.605;99.148;1.06;0
529;"2015-06-27 02:29:00.00";60;"lying";0;0.00511;8.2;99.809;1.07;0
529;"2015-06-27 02:30:00.00";60;"lying";0;0.01857;31.087;125.239;1.31;106.601
529;"2015-06-27 02:31:00.00";60;"lying";0;0.006;9.714;101.491;1.08;0
529;"2015-06-27 02:32:00.00";60;"lying";0;0.00769;12.587;104.684;1.11;0
529;"2015-06-27 02:33:00.00";60;"lying";0;0.00774;12.672;104.778;1.11;0
529;"2015-06-27 02:34:00.00";60;"lying";0;0.00569;9.186;100.905;1.08;0
529;"2015-06-27 02:35:00.00";60;"lying";0;0.00396;6.245;97.636;1.05;0
529;"2015-06-27 02:36:00.00";60;"lying";0;0.00351;5.48;96.786;1.04;0
529;"2015-06-27 02:37:00.00";60;"lying";0;0.00438;6.959;98.43;1.05;0
529;"2015-06-27 02:38:00.00";60;"lying";0;0.00318;4.918;96.163;1.03;0
529;"2015-06-27 02:39:00.00";60;"lying";0;0.00322;4.986;96.238;1.03;0
529;"2015-06-27 02:40:00.00";60;"lying";0;0.0025;3.762;94.878;1.02;0
529;"2015-06-27 02:41:00.00";60;"lying";0;0.00251;3.779;94.897;1.02;0
529;"2015-06-27 02:42:00.00";60;"lying";0;0.00267;4.051;95.199;1.02;0
529;"2015-06-27 02:43:00.00";60;"lying";0;0.00255;3.847;94.972;1.02;0
529;"2015-06-27 02:44:00.00";60;"lying";0;0.00255;3.847;94.972;1.02;0
529;"2015-06-27 02:45:00.00";60;"lying";0;0.00366;5.735;97.07;1.04;0
529;"2015-06-27 02:46:00.00";60;"lying";0;0.00875;14.39;106.686;1.13;0
529;"2015-06-27 02:47:00.00";60;"lying";0;0.00232;3.456;94.538;1.02;0
529;"2015-06-27 02:48:00.00";60;"lying";0;0.00322;4.986;96.238;1.03;0
529;"2015-06-27 02:49:00.00";60;"lying";0;0.00631;10.241;102.076;1.09;0
529;"2015-06-27 02:50:00.00";60;"lying";0;0.00367;5.752;97.089;1.04;0
529;"2015-06-27 02:51:00.00";60;"lying";0;0.00648;10.53;102.398;1.09;0
529;"2015-06-27 02:52:00.00";60;"lying";0;0.0026;3.932;95.067;1.02;0
529;"2015-06-27 02:53:00.00";60;"lying";0;0.00252;3.796;94.916;1.02;0
529;"2015-06-27 02:54:00.00";60;"lying";0;0.00248;3.728;94.84;1.02;0
529;"2015-06-27 02:55:00.00";60;"lying";0;0.00291;4.459;95.653;1.03;0
529;"2015-06-27 02:56:00.00";60;"lying";0;0.0112;18.556;111.315;1.18;0
529;"2015-06-27 02:57:00.00";60;"lying";0;0.01358;22.602;115.812;1.22;0
529;"2015-06-27 02:58:00.00";60;"lying";0;0.00987;16.294;108.802;1.15;0
529;"2015-06-27 02:59:00.00";60;"lying";0;0.0209;35.049;129.641;1.35;109.337
529;"2015-06-27 03:00:00.00";4.12;"lying";0;0.22153;376.197;508.695;4.97;281.98
529;"2015-06-27 03:00:04.12";16.32;"sitting";0;0.1746;93.582;194.678;1.8;371.349
529;"2015-06-27 03:00:20.44";25.95;"standing";0;0.02906;38.049;132.974;1.31;49.682
529;"2015-06-27 03:00:46.39";2.24;"shuffling";0;0.26889;353.908;483.929;5.67;1.579
529;"2015-06-27 03:00:48.63";11.37;"sitting";0;0.19747;103.009;205.153;1.88;331.431
529;"2015-06-27 03:01:00.00";3.7;"sitting";0;0.22065;112.564;215.769;1.95;158.9
529;"2015-06-27 03:01:03.70";56.3;"lying";0;0.04266;72.05;170.753;1.74;460.756
529;"2015-06-27 03:02:00.00";60;"lying";0;0.00829;13.607;105.817;1.12;31.702
529;"2015-06-27 03:03:00.00";60;"lying";0;0.00196;2.844;93.858;1.01;0
529;"2015-06-27 03:04:00.00";60;"lying";0;0.00192;2.776;93.782;1.01;0
529;"2015-06-27 03:05:00.00";60;"lying";0;0.00421;6.67;98.109;1.05;0
529;"2015-06-27 03:06:00.00";60;"lying";0;0.00254;3.83;94.954;1.02;0
